Word,POS,Pronunciation (IPA),Frequency
teachings,NNS,T IY CH IH NG Z,22
favour,NN,,32
scientific,JJ,S AY AH N T IH F IH K,102
theories,NNS,TH IH R IY Z,36
forwarded,VBN,F AO R W ER D IH D,2
however,RB,HH AW EH V ER,444
institutions,NNS,IH N S T IH T UW SH AH N Z,79
clerics,NNS,K L EH R IH K S,4
supported,VBN,S AH P AO R T AH D,139
advance,NN,AH D V AE N S,79
Turning,VBG,T ER N IH NG,4
accompanied,VBN,AH K AH M P AH N IY D,57
Maximilian,JJ,M AE K S IH M IH L IY AH N,12
Italy,NNP,IH T AH L IY,282
1508,CD,,2
Kingdom,NNP,K IH NG D AH M,265
Hungary,NNP,HH AH NG G ER IY,63
Saxony,NN,S AE K S AH N IY,41
December,NNP,D IH S EH M B ER,756
1510,CD,,2
chosen,NN,CH OW Z AH N,97
successor,NN,S AH K S EH S ER,51
1511,CD,,2
hope,NN,HH OW P,40
relationship,NN,R IY L EY SH AH N SH IH P,201
maternal,NN,M AH T ER N AH L,12
Sigismund,NN,,9
Old,NN,OW L D,194
would,MD,W UH D,1602
facilitate,NN,F AH S IH L AH T EY T,26
settlement,NN,S EH T AH L M AH N T,98
eastern,JJ,IY S T ER N,166
held,NN,HH EH L D,649
Polish,JJ,P AA L IH SH,164
suzerainty,NN,,1
since,IN,S IH N S,853
Second,JJ,S EH K AH N D,256
Peace,NN,P IY S,70
Thorn,NN,TH AO R N,3
1466,CD,,5
new,JJ,N UW,1539
aware,JJ,AH W EH R,42
duties,NNS,D UW T IY Z,76
empire,NN,EH M P AY ER,29
papacy,NN,P EY P AH S IY,1
refused,VBD,R AH F Y UW Z D,100
submit,NN,S AH B M IH T,25
crown,NN,K R AW N,41
war,NN,W AO R,348
existence,NN,EH G Z IH S T AH N S,90
appeared,VBD,AH P IH R D,391
inevitable,JJ,IH N EH V AH T AH B AH L,8
made,VBN,M EY D,1430
strenuous,JJ,S T R EH N Y UW AH S,3
efforts,NNS,EH F ER T S,121
secure,NN,S IH K Y UH R,49
allies,NNS,AE L AY Z,26
carried,VBN,K AE R IY D,187
ravages,NNS,R AE V IH JH IH Z,2
members,NNS,M EH M B ER Z,513
culminated,VBN,K AH L M AH N EY T AH D,9
began,VBD,B IH G AE N,727
1519,CD,,2
devastated,VBN,D EH V AH S T EY T AH D,24
granted,VBN,G R AE N T AH D,118
fouryear,NN,,16
truce,NN,T R UW S,11
1521,CD,,2
dispute,NN,D IH S P Y UW T,36
referred,VBN,R AH F ER D,171
princes,NNS,P R IH N S AH Z,7
reached,VBN,R IY CH T,235
continued,JJ,K AH N T IH N Y UW D,345
obtain,VB,AH B T EY N,64
help,NN,HH EH L P,247
view,NN,V Y UW,198
renewal,NN,R IH N UW AH L,11
purpose,NN,P ER P AH S,108
visited,VBN,V IH Z AH T AH D,114
Diet,JJ,D AY AH T,10
Nuremberg,NN,N UH R AH M B ER G,9
1522,CD,,4
acquaintance,NN,AH K W EY N T AH N S,5
Reformer,NN,R IH F AO R M ER,2
Andreas,NNS,AA N D R EY AH S,20
Osiander,NN,,6
whose,WP$,HH UW Z,237
influence,NN,IH N F L UW AH N S,140
journeyed,NN,JH ER N IY D,4
Wittenberg,NNP,W IH T AH N B ER G,2
advised,VBN,AE D V AY Z D,30
abandon,NN,AH B AE N D AH N,27
rules,NNS,R UW L Z,107
marry,NN,M EH R IY,35
convert,NN,K AA N V ER T,37
proposal,NN,P R AH P OW Z AH L,70
understandably,RB,AH N D ER S T AE N D AH B L IY,2
appealing,VBG,AH P IY L IH NG,17
already,RB,AO L R EH D IY,209
discussed,VBN,D IH S K AH S T,59
relatives,NNS,R EH L AH T IH V Z,32
necessary,JJ,N EH S AH S EH R IY,88
proceed,NN,P R AH S IY D,24
cautiously,RB,K AO SH AH S L IY,3
assured,VBN,AH SH UH R D,8
Pope,NN,P OW P,63
Adrian,JJ,EY D R IY AH N,20
VI,NN,V AY,56
anxious,JJ,AE NG K SH AH S,8
reform,NN,R AH F AO R M,49
punish,NN,P AH N IH SH,12
knights,NNS,N AY T S,5
adopted,VBN,AH D AA P T AH D,97
Lutheran,NN,L UW TH ER AH N,15
doctrines,NNS,D AA K T R AH N Z,11
order,NN,AO R D ER,477
change,NN,CH EY N JH,248
special,JJ,S P EH SH AH L,258
teaching,VBG,T IY CH IH NG,117
among,IN,AH M AH NG,364
Prussians,NNS,,2
brother,NN,B R AH DH ER,265
George,NNP,JH AO R JH,470
laid,NN,L EY D,65
scheme,NN,S K IY M,55
delay,NN,D IH L EY,33
assented,VBN,,2
offer,NN,AO F ER,90
provision,NN,P R AH V IH ZH AH N,19
treated,VBN,T R IY T AH D,57
fiefdom,NN,F IY F D AH M,1
treaty,NN,T R IY T IY,39
concluded,VBD,K AH N K L UW D AH D,81
10,CD,,907
February,NNP,F EH B Y AH W EH R IY,652
Estates,NNS,IH S T EY T S,3
met,NN,M EH T,182
Kaliningrad,NNP,K AH L IH N IH NG G R AE D,4
took,VBD,T UH K,648
allegiance,NN,AH L IY JH AH N S,8
duke,NN,D UW K,28
used,VBN,Y UW Z D,1496
full,JJ,F UH L,306
powers,NNS,P AW ER Z,67
promote,NN,P R AH M OW T,74
transition,NN,T R AE N Z IH SH AH N,58
place,NN,P L EY S,690
without,IN,W IH TH AW T,404
protest,NN,P R OW T EH S T,63
Summoned,VBN,S AH M AH N D,2
justice,NN,JH AH S T AH S,63
appear,VB,AH P IH R,158
proscribed,NN,P R OW S K R AY B D,4
elected,VBN,IH L EH K T AH D,271
Walter,NN,W AO L T ER,104
von,NN,V AO N,188
Cronberg,NN,,1
received,VBN,R AH S IY V D,592
fief,NN,F IY F,6
experiencing,VBG,IH K S P IH R IY AH N S IH NG,16
tumult,NN,T UW M AH L T,2
Reformation,NN,R EH F ER M EY SH AH N,14
German,JJ,JH ER M AH N,542
Peasants,NNS,P EH Z AH N T S,2
War,NNP,W AO R,760
wars,NNS,W AO R Z,29
Ottoman,NN,AA T AH M AH N,52
Turks,NNS,T ER K S,16
enforce,NN,EH N F AO R S,12
ban,NN,B AE N,31
agitation,NN,AE JH AH T EY SH AH N,9
soon,RB,S UW N,215
away,RB,AH W EY,293
Joining,VBG,JH OY N IH NG,4
banded,VBN,B AE N D IH D,2
plotted,VBN,P L AA T AH D,8
together,RB,T AH G EH DH ER,363
reasons,NNS,R IY Z AH N Z,71
poverty,NN,P AA V ER T IY,58
inclination,NN,IH N K L AH N EY SH AH N,6
others,NNS,AH DH ER Z,320
prominent,NN,P R AA M AH N AH N T,108
part,NN,P AA R T,1230
military,JJ,M IH L AH T EH R IY,432
operations,NNS,AA P ER EY SH AH N Z,196
period,NN,P IH R IY AH D,446
something,NN,S AH M TH IH NG,104
furtherance,NN,F ER TH ER AH N S,3
learning,VBG,L ER N IH NG,54
establishing,VBG,IH S T AE B L IH SH IH NG,38
freeing,VBG,F R IY IH NG,10
serfs,NN,S ER F S,4
scholastic,JJ,S K AH L AE S T IH K,7
friend,NN,F R EH N D,169
professorship,NN,P R AH F EH S ER SH IH P,2
1549,CD,,3
paid,NN,P EY D,121
printing,NN,P R IH N T IH NG,27
Astronomical,JJ,AE S T R AH N AA M IH K AH L,8
Prutenic,NN,,1
Tables,NNS,T EY B AH L Z,2
compiled,VBN,K AH M P AY L D,39
maps,NNS,M AE P S,34
beginning,VBG,B IH G IH N IH NG,203
troubles,NNS,T R AH B AH L Z,8
closing,NN,K L OW Z IH NG,35
reign,NN,R EY N,59
divergence,NN,D AY V ER JH AH N S,5
doctrine,NN,D AA K T R AH N,22
justification,NN,JH AH S T AH F AH K EY SH AH N,4
faith,NN,F EY TH,39
involved,VBN,IH N V AA L V D,256
violent,NN,V AY AH L AH N T,75
quarrel,NN,K W AO R AH L,4
Philip,NNP,F IH L AH P,108
Melanchthon,NN,,2
adherents,NNS,AE D HH IH R AH N T S,2
theological,JJ,TH IY AH L AA JH IH K AH L,10
created,VBN,K R IY EY T AH D,419
uproar,NN,AH P R AO R,6
strenuously,RB,S T R EH N Y UW AH S L IY,3
area,NN,EH R IY AH,992
broadened,VBN,B R AO D AH N D,3
conciliate,NN,,2
burden,NN,B ER D AH N,17
taxation,NN,T AE K S EY SH AH N,15
unpopular,JJ,AH N P AA P Y AH L ER,12
death,NN,D EH TH,515
1552,CD,,3
favoured,VBN,,5
preacher,NN,P R IY CH ER,9
named,VBN,N EY M D,766
Johann,NN,Y OW HH AA N,83
Funck,NN,F AH NG K,2
adventurer,NN,AE D V EH N CH ER ER,2
exercised,VBN,EH K S ER S AY Z D,8
great,JJ,G R EY T,267
obtained,VBN,AH B T EY N D,113
considerable,JJ,K AH N S IH D ER AH B AH L,67
wealth,NN,W EH L TH,45
public,NN,P AH B L IH K,539
expense,NN,IH K S P EH N S,19
turmoil,NN,T ER M OY L,8
increased,VBN,IH N K R IY S T,158
happen,VB,HH AE P AH N,25
appoint,NN,AH P OY N T,12
regent,NN,R IY JH AH N T,14
still,RB,S T IH L,640
mere,RB,M IH R,9
youth,NN,Y UW TH,99
forced,VBN,F AO R S T,204
consent,NN,K AH N S EH N T,17
condemnation,NN,K AA N D AH M N EY SH AH N,6
climax,NN,K L AY M AE K S,13
came,VBD,K EY M,444
1566,CD,,3
appealed,VBD,AH P IY L D,15
II,NN,,624
Augustus,NN,AA G AH S T AH S,39
cousin,NN,K AH Z AH N,50
sent,NN,S EH N T,289
commission,NN,K AH M IH SH AH N,65
saved,VBN,S EY V D,50
flight,NN,F L AY T,134
executed,VBN,EH K S AH K Y UW T AH D,67
question,NN,K W EH S CH AH N,97
regency,NN,R IY JH AH N S IY,10
settled,VBN,S EH T AH L D,99
form,NN,F AO R M,490
declared,VBN,D IH K L EH R D,118
binding,NN,B AY N D IH NG,17
teachers,NNS,T IY CH ER Z,53
preachers,NNS,P R IY CH ER Z,2
Virtually,RB,V ER CH UW AH L IY,2
lived,VBD,L AY V D,174
two,CD,T UW,2362
Cornelis,NN,,2
Floris,NN,F L AO R IH S,1
de,NNS,D IY,1436
Vriendt,NN,,1
designed,VBN,D IH Z AY N D,327
tomb,NN,T UW M,31
within,IN,W IH DH IH N,630
voluminous,JJ,V AH L UW M AH N AH S,4
letter,NN,L EH T ER,129
writer,NN,R AY T ER,271
corresponded,VBD,K AO R AH S P AA N D IH D,3
many,JJ,M EH N IY,1251
leading,VBG,L IY D IH NG,248
personages,NNS,,1
Legacy,NN,L EH G AH S IY,42
relatively,RB,R EH L AH T IH V L IY,84
little,JJ,L IH T AH L,202
recognition,NN,R EH K AH G N IH SH AH N,77
history,NN,HH IH S T ER IY,570
eventually,RB,IH V EH N CH AH W AH L IY,263
become,NN,B IH K AH M,458
arguably,RB,AA R G Y UW AH B L IY,9
powerful,JJ,P AW ER F AH L,119
effectively,RB,IH F EH K T IH V L IY,43
reversed,VBN,R IH V ER S T,21
betrayed,NN,B IH T R EY D,13
transforming,VBG,T R AE N S F AO R M IH NG,9
secularizing,VBG,,1
process,NN,P R AA S EH S,271
noble,JJ,N OW B AH L,37
support,NN,S AH P AO R T,399
ideas,NNS,AY D IY AH Z,89
Albertina,NNP,AA L B ER T IY N AH,3
rival,NN,R AY V AH L,58
Cracow,NN,,1
Academy,NN,AH K AE D AH M IY,260
second,JJ,S EH K AH N D,1034
university,NN,Y UW N AH V ER S AH T IY,118
states,NNS,S T EY T S,255
Marburg,NN,,1
relief,NN,R IH L IY F,70
Renaissanceera,NN,,1
portal,NN,P AO R T AH L,12
Castle,NN,K AE S AH L,116
southern,JJ,S AH DH ER N,200
wing,VBG,W IH NG,80
Hess,NN,HH EH S,5
1551,CD,,1
according,VBG,AH K AO R D IH NG,194
plans,NNS,P L AE N Z,151
Christoph,NN,K R IH S T AO F,15
Rmer,NN,,2
Another,DT,AH N AH DH ER,179
unknown,JJ,AH N N OW N,91
artist,NN,AA R T AH S T,192
included,VBD,IH N K L UW D AH D,551
wall,NN,W AO L,105
original,JJ,ER IH JH AH N AH L,492
campus,NN,K AE M P AH S,80
depiction,NN,D IH P IH K SH AH N,7
showed,VBD,SH OW D,108
sword,NN,S AO R D,128
shoulder,NN,SH OW L D ER,30
popular,JJ,P AA P Y AH L ER,408
Albertus,NN,AE L B ER T AH S,3
symbol,NN,S IH M B AH L,39
moved,VBN,M UW V D,478
sculptor,NN,S K AH L P T ER,39
Kimritz,NNP,,1
duplicate,NN,D UW P L AH K AH T,8
version,NN,V ER ZH AH N,467
Lothar,NN,,3
Sauer,NN,S AW ER,1
entrance,NN,EH N T R AH N S,51
Royal,NN,R OY AH L,411
Library,JJ,L AY B R EH R IY,123
1880,CD,,57
Friedrich,NNP,F R IY D R IH K,79
Reusch,NNP,R OY SH,2
sandstone,NN,S AE N D S T OW N,11
bust,NN,B AH S T,8
Regierungsgebude,NN,,1
administrative,JJ,AH D M IH N AH S T R EY T IH V,142
building,NN,B IH L D IH NG,458
Regierungsbezirk,NN,,1
19,CD,,347
1891,CD,,49
premiered,VBN,P R EH M IH R D,41
famous,JJ,F EY M AH S,220
statue,NN,S T AE CH UW,47
inscription,NN,IH N S K R IH P SH AH N,19
Brandenburg,NNP,B R AE N D AH N B ER G,21
Last,JJ,L AE S T,87
First,RB,F ER S T,489
Wolff,NN,W UH L F,11
equestrian,JJ,IH K W EH S T R IY AH N,8
located,VBN,L OW K EY T AH D,739
Gate,NN,G EY T,38
contains,NNS,K AH N T EY N Z,244
ofthonored,VBN,,1
quarter,NN,K W AO R T ER,55
Maraunenhof,NN,,1
northern,JJ,N AO R DH ER N,190
main,JJ,M EY N,541
street,NN,S T R IY T,99
HerzogAlbrechtAllee,NN,,1
1906,CD,,75
square,NN,S K W EH R,146
KnigOttokarPlatz,NNP,,1
renamed,VBN,R IY N EY M D,146
HerzogAlbrechtPlatz,NN,,1
1934,CD,,95
match,NN,M AE CH,196
31,CD,,268
17536,CD,,1
TOOLONG,NN,,456
Spouse,NN,S P AW S,2
married,JJ,M EH R IY D,451
Princess,NN,P R IH N S EH S,87
Dorothea,NN,D AO R AH TH IY AH,6
1,CD,,1855
August,NNP,AA G AH S T,825
1504,CD,,5
11,CD,,545
April,NNP,EY P R AH L,824
1547,CD,,6
Denmark,NN,D EH N M AA R K,70
children,NNS,CH IH L D R AH N,452
Anna,NNP,AE N AH,68
15271591,CD,,1
15291530,CD,,1
Lucia,NN,L UW SH AH,6
15311532,CD,,1
15371539,CD,,1
15391539,CD,,1
secondly,RB,S EH K AH N D L IY,14
Maria,NNS,M ER IY AH,114
153220,CD,,1
Eric,JJ,EH R IH K,99
BrunswickLneburg,NNP,,8
1550,CD,,6
couple,NN,K AH P AH L,105
15511596,CD,,1
15531618,CD,,1
Ancestors,NNS,AE N S EH S T ER Z,4
center,NN,S EH N T ER,634
ahnentafelcompact5,NN,,6
Notes,NNS,N OW T S,221
2514,CD,,1
subdivisiontype1,NN,,180
Governorate,NN,,50
Aswan,NNP,,28
Ancient,NN,EY N CH AH N T,48
Egyptian,JJ,IH JH IH P SH AH N,71
28,CD,,349
11287,CD,,1
span,NN,S P AE N,947
11317,CD,,1
11347,CD,,1
formerly,RB,F AO R M ER L IY,142
spelled,VBN,S P EH L D,30
Assuan,NN,,1
26,CD,,376
11377,CD,,1
city,NN,S IH T IY,780
south,NN,S AW TH,402
Egypt,NN,IY JH AH P T,108
capital,NN,K AE P AH T AH L,206
busy,JJ,B IH Z IY,20
market,NN,M AA R K AH T,200
tourist,NN,T UH R AH S T,26
centre,NN,S EH N T ER,186
north,NN,N AO R TH,394
Dams,NNS,D AE M Z,3
east,NN,IY S T,291
bank,NN,B AE NG K,144
Nile,NN,N AY L,18
cataract,NN,K AE T ER AE K T S,2
modern,JJ,M AA D ER N,241
expanded,VBN,IH K S P AE N D AH D,98
includes,VBZ,IH N K L UW D Z,303
separate,JJ,S EH P ER EY T,142
community,NN,K AH M Y UW N AH T IY,402
island,NN,AY L AH N D,291
Elephantine,NN,EH L AH F AE N T IY N,2
History,NN,HH IH S T ER IY,596
ancient,NN,EY N CH AH N T,140
Swenett,NN,,2
11405,CD,,1
antiquity,NN,AE N T IH K W AH T IY,8
frontier,NN,F R AH N T IH R,17
facing,VBG,F EY S IH NG,37
supposed,VBN,S AH P OW Z D,47
derived,VBN,D ER AY V D,102
name,NN,N EY M,1117
goddess,NN,G AA D AH S,14
mentioned,VBN,M EH N SH AH N D,118
numerous,JJ,N UW M ER AH S,168
writers,NNS,R AY T ER Z,112
including,VBG,IH N K L UW D IH NG,1183
Herodotus,NN,,8
Strabo,NN,,5
Stephanus,NN,,1
Byzantium,NN,B AH Z AE N T IY AH M,6
Ptolemy,NN,T AA L AH M IY,13
Pliny,NN,P L IH N IY,9
Elder,NN,EH L D ER,16
Vitruvius,NN,V IH T R UW V IY AH S,1
appears,VBZ,AH P IH R Z,200
Antonine,NN,,4
Itinerary,JJ,AY T IH N ER EH R IY,1
Book,NN,B UH K,157
Isaiah,NN,AY Z EY AH,6
latitude,NN,L AE T AH T UW D,16
24,CD,,427
5,CD,,834
23,CD,,348
object,NN,AA B JH EH K T,67
interest,NN,IH N T R AH S T,214
geographers,NNS,,2
believed,VBN,B IH L IY V D,169
seated,VBN,S IY T AH D,10
immediately,RB,IH M IY D IY AH T L IY,137
tropic,NN,T R AA P IH K,1
day,NN,D EY,558
summer,NN,S AH M ER,203
solstice,NN,S AO L S T IH S,4
vertical,JJ,V ER T IH K AH L,44
staff,NN,S T AE F,142
cast,NN,K AE S T,144
shadow,NN,SH AE D OW,12
noted,VBN,N OW T AH D,182
sun,NN,S AH N,40
disc,NN,D IH S K,56
reflected,VBN,R AH F L EH K T AH D,45
well,RB,W EH L,998
noon,NN,N UW N,8
statement,NN,S T EY T M AH N T,70
approximately,RB,AH P R AA K S AH M AH T L IY,230
correct,NN,K ER EH K T,34
sup,NN,S AH P,427
sub,NN,S AH B,695
400,CD,,87
th,NN,T IY EY CH,9
could,MD,K UH D,715
scarcely,RB,S K EH R S L IY,6
discerned,VBN,D IH S ER N D,2
limb,NN,L IH M,18
Sun,NNP,S AH N,173
Eratosthenes,NNS,,1
information,NN,IH N F ER M EY SH AH N,280
measurements,NNS,M EH ZH ER M AH N T S,13
length,NN,L EH NG K TH,174
Alexandria,NNS,AE L AH G Z AE N D R IY AH,38
perform,NN,P ER F AO R M,104
known,VBN,N OW N,1300
calculation,NN,K AE L K Y AH L EY SH AH N,22
circumference,NN,S ER K AH M F R AH N S,4
Earth,NN,ER TH,220
27,CD,,428
wide,JJ,W AY D,164
extremity,NN,IH K S T R EH M AH T IY,4
river,NN,R IH V ER,272
flows,NNS,F L OW Z,54
bar,NN,B AA R,178
voyage,NN,V OY AH JH,40
Climate,NN,K L AY M AH T,31
hot,JJ,HH AA T,68
desert,NN,D EH Z ER T,29
climate,NN,K L AY M AH T,68
Kppen,VB,,11
classification,NN,K L AE S AH F AH K EY SH AH N,50
BWh,NN,,2
like,IN,L AY K,603
rest,NN,R EH S T,177
Luxor,NN,L AH K S ER,11
hottest,NN,HH AA T AH S T,10
days,NNS,D EY Z,393
one,CD,W AH N,2918
sunniest,NN,,3
driest,NN,D R AY AH S T,5
cities,NNS,S IH T IY Z,155
world,NN,W ER L D,615
Averages,NNS,AE V R IH JH IH Z,2
high,JJ,HH AY,618
temperatures,NNS,T EH M P R AH CH ER Z,38
40,CD,,256
C,SYM,S IY,444
104,CD,,21
F,NN,EH F,198
June,NNP,JH UW N,787
July,NNP,JH UW L AY,876
averages,NNS,AE V R IH JH IH Z,8
low,JJ,L OW,202
remain,NN,R IH M EY N,115
25,CD,,535
77,CD,,39
Summers,NNS,S AH M ER Z,9
long,RB,L AO NG,475
prolonged,VBN,P R AH L AO NG D,16
extremely,RB,IH K S T R IY M L IY,73
734,CD,,5
coldest,NN,K OW L D AH S T,4
month,NN,M AH N TH,155
year,NN,Y IH R,1205
8,CD,,573
464,CD,,5
Winters,NNS,W IH N T ER Z,6
short,JJ,SH AO R T,311
brief,NN,B R IY F,73
warm,NN,W AO R M,31
